sen1_origin_id,sentence1,sen1_paraphrase0,sen1_paraphrase1,sen1_paraphrase2,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_task
RTE3_dev.column_s1_140,"George Hawi 's assassination came on the heels of the conclusion of the last round of parliamentary elections , which saw a coalition of opposition candidates led by Saad Hariri , son of former Prime Minister of Lebanon Rafik Hariri , capture a majority of seats .","George Hawi's assassination followed the end of the last round of parliamentary elections, during which a coalition of opposition candidates led by Saad Hariri, son of former prime minister of Lebanon Rafik Hariri, captured the majority of seats.","George Hawi's assassination occurred on the heels of the conclusion of the last round of parliamentary elections, where a coalition of opposition candidates led by Saad Hariri, son of former premier of Lebanon Rafik Hariri, captured a majority of seats.","George Hawi's assassination came to the end of the last round of parliamentary elections. A coalition of opposition candidates led by Saad Hariri, son of former prime minister of Lebanon Rafik Hariri, captured a majority of the seats.",IE,RTE3_dev.column_s1_411,"Although I come across Borges and Calvino fairly often , too , I have to admit that Gabriel Garcia Marquez is the only one of the other authors I am at all familiar with , so I am not sure which difference it might make . I would be curious , though , what that difference might look like to people writing about media art and architecture in Spanish , for example .","Although I occasionally meet Borges and Calvino, I have to admit that Gabriel Garcia Marquez is the only other author I am familiar with, so I am not sure what that difference might make. I would be curious, however, what that difference might look like for people writing in Spanish about media art and architecture.",QA
RTE3_dev.column_s1_332,"Stony Brook , NY ( 1 / 10 / 02 ) - The discovery of paleolithic art in a cave in South Africa is causing researchers to consider an older and less Euro-centric view of the origins of what is considered ' modern behavior ' .",The discovery of paleolithic art in a cave in South Africa is causing researchers to consider an older and less Euro-centric view of the origins of what is considered'modern behavior '.,The discovery of paleolithic art in a cave in South Africa causing researchers to consider an older and less Eurocentric view of what is considered to be'modern behavior '.,The discovery of paleolithic art in a cave in South Africa is causing researchers to reconsider an older and less Euro-centric view of what is considered'modern behavior '.,IR,RTE3_dev.column_s1_564,"Unwilling to surrender his dream of beginning a Holy Land pilgrimage in Iraq , Pope John Paul II made a `` virtual pilgrimage '' Wednesday to Ur , the ancient city that is traditionally held to be the birthplace of Abraham .","Unwilling to surrender his dream of an Israeli pilgrimage of the holy land in Iraq, Pope John Paul II had a  virtual pilgrimage '' to Ur, the ancient city traditionally believed to be Abraham's birthplace.",QA
RTE3_dev.column_s1_434,"November 9 , 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming . As Hungary 's foreign minister in the late summer of 1989 , Gyula Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .","As Hungary's foreign minister in the late summer of 1989 Gyula Horn gave the order to allow visiting East Germans to build a 400-mile run around the Berlin Wall, a move now seen as the beginning of the end for hard-line communism in Europe.","In late summer 1989, Gyula Horn gave the order as Hungary's Foreign Minister to allow visiting East Germans to use his country to do a 400-mile round the Berlin Wall, a move now seen as the beginning of the end for hard-line communism in Europe.","As Hungary's foreign minister, Gyula Horn gave the order in late summer 1989 to allow visiting East Germans to use his country for a 400-mile long run around the Berlin Wall, a move now seen as the beginning of the end of hard-line communism in Europe.",QA,RTE3_dev.column_s1_390,"Typhoon Xangsane lashed the Philippine capital on Thursday , grounding flights , halting vessels and closing schools and markets after triggering fatal flash floods in the centre of the country .","On Thursday the typhoon Xangsane grounded the Philippine capital, cancelled flights, stopped vessels and closed schools and markets, after triggering fatal flash floods in the centre of the country.",IR
RTE3_dev.column_s1_71,"As leaders gather in Argentina ahead of this weekends regional talks , Hugo Chvez , Venezuela 's populist president is using an energy windfall to win friends and promote his vision of 21 st-century socialism .","As leaders gather in Argentina ahead of this weekend regional talks, Hugo Chvez, Venezuela's populist president uses an energy windfall to win friends and promote his vision of 21st-century socialism.","As leaders gather in Argentina ahead of the regional talks this weekend, Hugo Chvez, Venezuela's populist president, is using an energy windfall to win friends and promote his vision of 21st-century socialism.","As leaders gather in Argentina ahead of regional talks this weekend, Hugo Chvez, Venezuela's populist president, is using an energy win to win friends and promote his vision of 21st century socialism.",IE,RTE3_dev.column_s1_520,"Beamon 's jump was a world record that eclipsed the previous record by 21 3 / 4 inches . The jump still stands as an Olympic record , and stood as a world record until Mike Powell leapt 29 ' 4 1 / 2 `` at the 1991 World Championships in Tokyo .",Beamon's jump was a world record that eclipsed the previous record by 21 3 / 4 inches.The jump still stands as an Olympic record and stands as a world record until Mike Powell stepped 29'4 1 / 2  at the 1991 World Championships in Tokyo.,QA
RTE1_dev.column_s1_122,"The Daily Telegraph , most prized asset in Lord Conrad Black 's crumbling media empire , has been sold to Britain 's Barclay twins .","The Daily Telegraph, the most valuable asset in Lord Conrad Black's crumbling media empire, was sold to Britain's Barclay twins.","The Daily Telegraph, the most valuable asset in Lord Conrad Black's crumbling media empire, has been sold to Britain's Barclay twins.","The Daily Telegraph, the most valued asset in Lord Conrad Black's crumbling media empire, has been sold to Britain's barclay twins.",IR,RTE3_dev.column_s1_32,"Carl Smith collided with a concrete lamp-post while skating and suffered a skull fracture that caused a coma . When he failed to regain consciousness , his parents on August 8 consented to his life support machine being turned off .","Carl Smith collided with a concrete lamp post during skating and suffered a skull fracture causing coma, and his parents consented to turning off his life support machine on August 8, when he failed to regain consciousness.",IE
RTE1_dev.column_s1_580,"The program will include Falla 's `` Night in the Gardens of Spain , '' Ravel 's Piano Concerto in G , Berlioz 's Overture to `` Beatrice and Benedict , '' and Roy Harris ' Symphony No. 3 .","The program will include Falla's  Night in the Gardens of Spain '', Ravel's piano concerto in G, Berlioz's overture to  Beatrice and Benedict '', and Roy Harris'Symphony No. 3.","The program will include Falla's  Night in the Gardens of Spain '', Ravel's piano concerto in G, Berlioz's overture to  Beatrice and Benedict, '' and Roy Harris'Symphony No. 3.","The program will include Falla's  Night in the Gardens of Spain, Ravel's Piano Concerto in G, Berlioz's Overture to  Beatrice and Benedict '' and Roy Harris'Symphony no. 3.",QA,RTE3_dev.column_s1_506,The planet probably got this name due to its red color ; Mars is sometimes referred to as ' the Red Planet ' .,"The planet likely got this name from its red color, Mars is sometimes referred to as'The Red Planet '.",QA
RTE3_dev.column_s1_365,"The mystery of Alexander the Great 's tomb still has not unraveled , and locating the burial of Alexander seems to have become an impossible mission for archaeologists .","The mystery of Alexander the Great's tomb has not yet been unraveled, and finding Alexander's burial seems to have become an impossible mission for archaeologists.",The mystery of Alexander the Great's tomb has not yet unraveled and locating the burial of Alexander seems to have become an impossible task for archaeologists.,The mystery of Alexander the Great's tomb has not yet been unraveled and finding the burial of Alexander seems to have become an impossible mission for archaeologists.,IR,RTE3_dev.column_s1_409,"George H.W. Bush served this country not only as President but also as Vice President , Member of Congress , United Nations Ambassador , chief of the U.S. Liaison Office to the People 's Republic of China , Director of the Central Intelligence Agency and also , as a naval aviator in World War II . Coming back from the war , he married his sweetheart , Barbara Pierce of Rye , New York , and later that year made his first civilian adult decision when he made the appropriate choice of moving to Texas , where he lived the rest of his life .","Bush was President not only, but also as Vice President, Member of Congress, United Nations Ambassador, Director of the U.S. Liaison Office to the People's Republic of China, Director of the Central Intelligence Agency and also as an aircraft pilot in World War II. Having returned from the war, he married his sweetheart Barbara Pierce of Rye, New York, and later that year made his first civilian adult decision when he made the appropriate choice of moving to Texas ",QA
RTE1_dev.column_s1_78,Clinton 's new book is not big seller here .,Clinton's new book is not here to become a big seller.,Clinton's new book is not big seller here.,The new book by Clinton is not a big seller here.,IR,RTE3_dev.column_s1_431,"`` These new results from Cassini may be the first evidence of gases originating either from the surface or possibly from the interior of Enceladus , '' said Dr. Michele Dougherty , principal investigator for the Cassini magnetometer and professor at Imperial College in London . Scientists have suspected Enceladus as geologically active and a possible source of Saturn 's icy E ring . Enceladus is the most reflective object in the solar system , reflecting about 90 percent of the sunlight that hits it .","Scientists believe these new results from Cassini may be the first evidence of gases originating either from the surface or possibly from the interior of Enceladus. Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it.",QA
RTE1_dev.column_s1_614,"In naming Guillermo Ortiz to be Mexico 's finance minister , President Ernesto Zedillo appointed a friend , former colleague and , like himself , a U.S. - trained economist .","President Ernesto Zedillo appointed Guillermo Ortiz as Mexico's Finance Minister to honor a friend, former colleague and as a U.S.-like economist.","President Ernesto Zedillo appointed Guillermo Ortiz as Mexico's finance minister, a friend, a former colleague and, like himself, a U.S.-accredited economist.","When he named Guillermo Ortiz as the finance minister of Mexico, President Ernesto Zedillo appointed a friend, former colleague, and an economist trained in the United States as a friend.",QA,RTE3_dev.column_s1_542,"Even while accepting the Russian plan , IMF Managing Director Michel Camdessus noted that the efficiency of Russia 's State Taxation Service `` is declining rapidly . ''","Even while the IMF's managing director Michel Camdessus accepts the Russian plan, he noted that the efficiency of Russia's State Taxation Service  is slowly declining.",QA
RTE3_dev.column_s1_60,Russia 's natural gas monopoly Gazprom has also shown interest in acquiring a sizable stake in the Uzbek pipeline monopoly .,"Gazprom, Russia's natural gas monopoly Gazprom, also has shown interest in acquiring a slew of shares in the Uzbek pipeline monopoly.",Russia's natural gas monopoly Gazprom has also shown interest in acquiring a large stake in the Uzbek pipeline monopoly.,"Gazprom, Russia's Natural Gas Monopoly, has also shown interest in acquiring a huge stake in the Uzbek - Pipeline monopoly.",IE,RTE3_dev.column_s1_770,"Most of Grameen Bank 's borrowers use the small loans to start businesses by , for instance , buying a cow to produce milk , or a rickshaw , or materials to make cloth or pottery .","Most of the Grameen Bank's borrowers use the small loans to start businesses by purchasing a cow to make milk, or a Rickshaw or materials to make cloth or pottery, for example.",SUM
RTE2_dev.column_s1_267,"Priscilla Presley greeted thousands of cheering Elvis fans at a concert Friday night , marking the 25 th anniversary of the King 's death , telling them `` you 're helping Elvis make history again . ''",Priscilla Presley welcomed thousands of Elvis fans with a welcome Friday night at a concert to mark the 25th anniversary of the King's death and told them  you are helping Elvis make history again.,"Priscilla Presley greeted thousands of Elvis fans  at a concert on Friday night, which marked the 25th anniversary of King's death, telling them  you're helping Elvis make history ''.","Priscilla Presley greeted thousands of cheering Elvis fans at a concert Friday night, marking the 25th anniversary of King's death, and told them  you are helping Elvis to make history again ''.",SUM,RTE3_dev.column_s1_55,"Bosnia 's leading Muslim daily Dnevni Avaz writes excitedly about `` a sensational discovery '' of `` the first European pyramid '' in the central town of Visoko , just north of Sarajevo .","Bosnia's leading Muslim Daily Dnevni Avaz writes enthusiastically about  a sensational discovery '' of  the first European pyramid in central Visoko city, north of Sarajevo.",IE
RTE2_dev.column_s1_357,"That request is at odds with the law signed early yesterday , by Bush , directing the federal courts to consider the case de novo without taking into account the state court 's findings .","That request is a contradiction with the law signed by Bush earlier yesterday, directing the federal courts to consider the case de novo without a consideration of the state court's findings.",That request is in conflict with the law signed late yesterday by Bush that directed the federal courts to consider the case de novo without taking into account the state court's findings.,"That request is at odds with the law signed by Bush earlier yesterday, directing federal courts to consider the case de novo without weighing the findings of the state court.",SUM,RTE3_dev.column_s1_271,"Hubble is helping astronomers precisely calculate the age of the universe by providing accurate distances to galaxies , an important prerequisite for calculating age . Hubble measures the distances to neighboring galaxies by finding accurate `` milepost markers , '' a special class of pulsating star called Cepheid variables . These , in turn , are being used to calibrate more remote milepost markers .","Hubble helps astronomers precisely calculate the age of the universe by providing accurate distances to galaxies, an important prerequisite for age calculations Hubble measures the distances to neighboring galaxies by finding accurate  milepost markers '', a special class of pulsating stars called Cepheid variables, which in turn are used to calibrate more distant milepost markers.",IR
RTE3_dev.column_s1_567,"Standing off to one side , seeing all and hearing Mozart 's music , which only he understands to be a manifestation of God 's love , is Antonio Salieri , the ambitious Italian-born composer and conductor , a favorite at the imperial court in Vienna in 1781 .","Antonio Salieri, the ambitious Italian composer and conductor who was a favorite at the imperial court in Vienna in 1781, stands to one side, all of it seeing and hearing Mozart's music, which only he understands to be a manifestation of God's love.","Antonio Salieri, ambitious Italian-born composer and conductor who in 1781 was a favourite at the imperial court in Vienna, sees all and hears Mozart's music which only he understands as a manifestation of God's love.","Antonio Salieri, the ambitious Italian-born composer and conductor, who is standing to one side, seeing all and hearing Mozart's music, which only he understands to be a manifestation of God's love, is Antonio Salieri, the famous champion of the Vienna Imperial Court in 1781.",QA,RTE3_dev.column_s1_262,"For women earning 22,000 a year , the total pay accumulated after six months maternity leave would be just 5,300 in the UK and 5,850 in Ireland . Entitlements in Germany would also be relatively low , at 5,900 , along with those in France , Spain and the Netherlands , all at 6,750 . At the other end of the scale , pay received after six months leave in Italy would be 9,150 while in Denmark and Norway it would be as much as 11,000 .","For women earning 22,000 per year, the total accumulated pay would be just 5,300 in the UK and 5,850 in Ireland, entitlements would also be relatively low, with 5,900 in France, Spain and the Netherlands all at 6,750, and pay received in Italy would be 9,150, while in Denmark and Norway it would be as much as 11,000.",IR
RTE2_dev.column_s1_494,Prime Minister Mahmoud Abbas has offered ' the hand of peace ' to Israel after his landslide victory in Sunday 's presidential election .,Prime Minister Mahmoud Abbas gave Israel's peace after his landslide victory in Sunday's presidential election's'handshake '.,Prime Minister Mahmoud Abbas offered Israel's'hand of peace after his victory in Sunday's presidential election.,The Prime Minister Mahmoud Abbas offered Israel the'hand of peace'after winning Sunday's presidential election with a landslide victory.,SUM,RTE3_dev.column_s1_403,"Two of Gianni Versace 's favorite buzzwords were quality and future , so after the 50-year-old designer was murdered last July outside his Miami Beach , Fla. mansion , it was somehow inevitable that his family would have to go about putting those words together : They had to ask themselves how they could ensure the future of the company Versace had built without sacrificing its reputation for quality .","Two of Gianni Versace's favorite buzzwords were quality and future. So after the 50-year-old designer was murdered outside his Miami Beach, Fla, mansion last July, it was somehow inevitable that his family would have to consider how they could ensure the future of Versace's company without sacrificing its reputation for quality.",QA
RTE2_dev.column_s1_568,"On June 28 , 1997 , in what would become known as the bite fight , Mike Tyson bit Evander Holyfield 's ear , purportedly in retaliation for Holyfield headbutting him .","On June 28, 1997, Mike Tyson's ears and ears were bit Evander Holyfield in what would become known as the bite fight, purportedly in retaliation for Holyfield's headbutting him.","On May 28, 1997, in what would become known as the bite fight, Mike Tyson hurt Evander Holyfield's ear, purportedly in revenge for Holyfield headbutting him.","On June 28, 1997, Mike Tyson, in what would become known as the Bitefight, ripped Evander Holyfield's ear, purportedly in retaliation for Holyfield headbutting him.",QA,RTE3_dev.column_s1_337,"The British tabloids portrayed Nicholas Leeson as a working-class villain who single-handedly brought down Barings PLC , a 233-year-old London merchant bank that helped finance the Napoleonic wars .","The British tabloids portrayed Nicholas Leeson as a working class villain who defeated Barings PLC, a 233-year-old London merchant bank that helped finance the Napoleonic wars.",IR
RTE2_dev.column_s1_2,Prime Minister Mahmoud Abbas has offered ' the hand of peace ' to Israel after his landslide victory in Sunday 's presidential election .,Prime Minister Mahmoud Abbas offers the'hand of peace'to Israel after his landslide victory in Sunday's presidential election.,Prime Minister Mahmoud Abbas offered the'hand of peace'to Israel after his landslide victory in Sunday's presidential election.,"Prime Minister Mahmoud Abbas offered Israel, after his victory in Sunday's presidential election,'the hand of peace '.",SUM,RTE1_dev.column_s1_211,The German-based team say their study is the only report of prolonged hibernation in a tropical mammal .,The German team says that their study is the only report of a prolonged hibernation in a tropical mammal.,RC
RTE2_dev.column_s1_188,"95 % of the Gulf of Mexico 's oil output is now out of service following Katrina , together with more than 83 % of natural gas production .","95 % of the Gulf of Mexico's oil production is now out of service after Katrina, along with more than 83 % of the natural gas production.","95 % of Gulf of Mexico's oil production is now in service after Katrina, along with over 83 % of natural gas production.",95 % of the Gulf of Mexico's oil output is now not in service after Katrina along with more than 83 % of the natural gas production.,SUM,RTE3_dev.column_s1_501,"The brother-in-law of Mohammad Oreibi al-Khalifa , the new chief judge in the genocide trial of Saddam Hussein , has been shot dead , police sources say .","The brother of Mohammad Oreibi al-Khalifa, the new Chief Justice in the war effort to rid Saddam Hussein of genocide, was shot dead, police sources say.",QA
RTE2_dev.column_s1_532,"In all , Zerich bought $ 422 million worth of oil from Iraq , according to the Volcker committee . In the early 1990 s after the Soviet Union collapsed , Rich quickly became the most powerful trader there .","According to Volcker's committee, Zerich bought 422 million of oil from Iraq, in total, and Rich became the most powerful trader there in the early 1990s, after the Soviet Union collapsed.","According to the Volcker Committee, Zerich purchased oil in Iraq at $ 422 million in total, and Rich became the most powerful trader there in the early 1990s, following the collapse of the Soviet Union.","According to the Volcker committee, Zerich bought oil from Iraq in total, for $ 422 million. In the early 1990s after the Soviet Union collapsed, Rich quickly became the most powerful trader in Iraq.",QA,RTE3_dev.column_s1_385,This is a kind of homework from last year 's Halifax Summit . Discussions have taken place on how to rationalize and coordinate the various activities of the international organizations .,"This is a kind of homework from last year's Halifax summit, where discussion took place on how to rationalize and coordinate the various activities of international organizations.",IR
RTE2_dev.column_s1_257,Microsoft 's ( MSFT ) own search engine will permanently replace the Yahoo ( YHOO ) search technology that has been used on Microsoft 's MSN website .,Microsoft's ( MSFT ) own search engine will replace the Yahoo ( YHOO ) search technology that was used on Microsoft's MSN website permanently.,Microsoft's ( MSFT ) own search engine will permanently replace Yahoo ( YHOO ) search technology that has been used on Microsoft's MSN site.,"Microsoft's ( MSFT ) own search engine ( Yahoo ) will replace Yahoo search technology, used on Microsoft's MSN website permanently.",SUM,RTE3_dev.column_s1_710,"Conservationists fear that one of Namibia 's most precious resources , its abundant wildlife and especially its threatened black rhinoceros , faces a major menace from poaching .","Conservationists fear that one of Namibia's most precious resources, its abundance of wildlife and especially its threatened black rhinoceros, faces a major threat from poaching.",SUM
