origin_id,sentence,paraphrase0,paraphrase1,paraphrase2,task
RTE3_dev.column_s1_514,The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts . The collection of this dynamic and continually growing corpus began in 1998 .,The Norwegian Newspaper Corpus is a large and rapidly growing corpus of Norwegian newspapers. The collection of this dynamic and continuously growing corpus began in 1998.,"The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts, which began collecting in 1998.",,QA
RTE1_dev.column_s1_566,"`` I just hope I do n't become so blissful I become boring. '' - Nirvana leader Kurt Cobain , giving meaning to his `` Teen Spirit '' coda `` a denial '' .","Kurt Cobain, giving meaning to his  Teen Spirit '' coda  a denial '' - Nirvana leader Kurt Cobain.","'' - Nirvana leader Kurt Cobain, giving meaning to his  Teen Spirit '' coda  denial ''.",,QA
RTE1_dev.column_s1_641,"`` Mayday ! Here is Estonia ! Outside Uto lighthouse . We have listed 20 to 30 degrees , `` the Finnish Coast Guard quoted the distress signal .","We have listed 20 to 30 degrees outside Uto Lighthouse,  the Finnish Coast Guard quotes the distress warning.","Outside the lighthouse of Uto, we have listed 20 to 30 degrees,  The Finnish Coast Guard quotes the distress signal.",,QA
RTE3_dev.column_s1_540,"New Delhi : More than 100 Nobel prize winners , two US congressmen , and leading labour organizations have expressed concern over threats against the life of Kailash Satyarthi , India 's leading opponent of child labour .","More than 100 Nobel Prize winners, two US Congressmen and leading labour organizations expressed concern about threats to the life of Kailash Satyarthi, India's leading opponent of child labour.","More than 100 Nobel Prize winners, two US Congressmen, and leading labour organisations have expressed concern over threats against Kailash Satyarthi's life, India's leading opponent of child labour.",,QA
RTE3_dev.column_s1_322,"Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old .","Research workers from the German archaeological institute found a mummy in permafrost of about 2,500 years old in excavation work in Mongolia.","Research workers of the German archaeological institute have found a mummy in permafrost from 2,500 years old during excavation work in Mongolia.",,IR
RTE3_dev.column_s1_304,Nick Leeson was jailed for fraud following the collapse of Barings Bank in 1995 . He had run up losses of 850 m on the Far East stock markets .,Nick Leeson was jailed following the 1997 collapse of Barings Bank for fraud following the 1994 bankruptcy and had accumulated losses of 850 m on the Far East stock markets.,Nick Leeson was jailed for fraud following the 1995 Barings Bank collapse. He had lost 850 m on the Far East stock market.,,IR
RTE1_dev.column_s1_201,Passions surrounding Germany 's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she did n't want to watch the game on television .,Passions around Germany's final match at the 2004 Euro soccer championships turned violent when a woman stabbed her partner in the head because she did not want to see the game on television.,Passions surrounding Germany's final match at the 2004 Euro Soccer Championships turn violent when a woman stabs her partner in the head because she did not want to see the game on television.,,RC
RTE3_dev.column_s1_460,"Gonzlez Mrquez , Felipe is a Spanish political leader . After joining what was then the Spanish Socialist Workers ' party , Gonzlez became its secretary-general and revived it from the moribund position into which it had fallen under Franco .","Felipe Gonzlez Mrquez, Felipe is a Spanish political leader, who joined what was then the Spanish socialist workers'party and after being appointed secretary-general, Gonzlez revived it from the moribund position it had fallen into under Franco.","Felipe Gonzlez, a Spanish political leader, has become a Spanish political leader, after joining what was then the Spanish Socialist Workers'Party, Gonzlez became its Secretary-General and revived him from the moribund position which it had fallen under Franco.",,QA
RTE3_dev.column_s1_319,Prime Minister Jos Manuel Duro Barroso resigns . He is to assume the presidency of the European Commission later in the year ( the European Parliament approves him on July 22 ) .,"Prime Minister Jos Manuel Duro Barroso resigns, who is set to take over the presidency of the European Commission later this year ( the European Parliament approves him on 22 July ).",Premier Jos Manuel Duro resigns Barroso and is set to assume the presidency of the European Commission later this year ( the European Parliament approves him on 22 July ).,,IR
RTE3_dev.column_s1_358,"The liner notes to the CD surmise that Farrakhan is the author of three selections , `` Is She Is , or Is She Ai n't '' , `` Do n't Touch Me Nylon , '' and `` Female Boxer '' and that is quite possible . The most interesting is the first of these three , a topical number on Christie Jorgensen , the subject of a series of sex change operations . While such transexual operations have since become more common , this was the first to receive high publicity .","The liner notes to the CD indicate that Farrakhan is the author of three selections,  Is She Is, or Is She Ain't '',  Don't Touch Me Nylon '' and  Female Boxer '' and that is quite possible. The most interesting of these three is the first, a topical number on Christie Jorgensen, the subject of a series of sex change operations,","The liner notes to the CD indicate that Farrakhan is the author of three selections,  Is She Is, or Is She Ai n '',  Do n 't Touch Me Nylon, '' and  Female Boxer  and that is quite possible. The most interesting of these three is the first of them, a topical number about Christie Jorgensen, subject of a series of sex change operations ",,IR
RTE3_dev.column_s1_255,"Every year , about a quarter of all children sustain an injury serious enough to require medical attention , school absences , and / or bed rest .","About a quarter of all children in every year sustain a serious injury that requires medical attention, school absences and bed rest.","About a quarter of all children in the United States have a serious injury each year, which requires medical attention, school absences and / or bed rest.",,IR
RTE3_dev.column_s1_254,Every year Israel jails individuals simply because they refuse to perform military service for reasons of conscience .,Israel confines individuals every year because they refuse military service to perform from conscience reasons.,Israel jails individuals yearly for simply refusing to perform military service for conscience reasons.,,IR
RTE1_dev.column_s1_110,Wal-Mart faces huge sex discrimination suit,Wal-Mart faces a massive sex discrimination suit against Wal-Mart.,Wal-Mart faces a huge discrimination suit due to sex.,,IR
RTE3_dev.column_s1_277,"In February of 1995 , one man single-handedly bankrupted the bank that financed the Napoleonic Wars . Founded in 1762 , Barings Bank was Britain 's oldest merchant bank and Queen Elizabeth 's personal bank .","In February 1995, one man, alone bankrupted, bankrupted the bank that financed the Napoleonic Wars. Barings Bank, founded in 1762, was Britain's oldest merchant bank and Queen Elizabeth's personal bank.","In February 1995, a man single-handedly bankrupted the bank that financed the Napoleonic Wars. Founded in 1762, Barings Bank was Britain's oldest merchant bank and Queen Elizabeth's personal bank.",,IR
RTE3_dev.column_s1_141,"Saddam Hussein accepted an 11 th-hour offer to flee into exile weeks ahead of the U.S. - led 2003 invasion , but Arab League officials scuttled the proposal , officials in this Gulf state claimed .","But officials in the Gulf state claimed that Arab League officials scuttled the idea, and it accepted an 11th-hour offer to flee into exile weeks ahead of the 2003 invasion from the U.S. Saddam Hussein accepted the offer, but officials in this Gulf state claimed.","Saddam Hussein accepted an 11th hour offer to flee to exile weeks before the U.S. led invasion of 2003, but Arab League officials rejected the proposal, officials in this Gulf state claim.",,IE
RTE3_dev.column_s1_228,"Busby countered , telling The Iconoclast , the point is that material from Chernobyl which is 1,800 miles to the east of Great Britain traveled to Great Britain and contaminated Wales , Scotland , and various parts of the United Kingdom . And they might as well have said that it was equally unfeasible for it to travel that distance in the opposite direction to the general flow of the wind , but we have examined computer Models of wind directions over the period of the Gulf War and its quite clear the material from Iraq could have come through the United Kingdom because of the particular types of depressions and anticyclone systems that were there .","Similarly, busby said to The Iconoclast that the point is that material from Chernobyl, which is 1,800 miles east of Great Britain, traveled to Great Britain and contaminated Wales, Scotland, and different parts of the United Kingdom, and they might as well have said that it was equally unfeasible for it to travel that distance in the opposite direction to the general flow of the wind, but we have examined computer models of the wind directions over the period of the Gulf War","Busby countered, telling The Iconoclast that the point is that material from Chernobyl, located 1,800 miles east of Great Britain, traveled to Great Britain and contaminated Wales, Scotland, and various parts of the United Kingdom. And they would have equally said that it was unfeasible for it to travel that distance in the opposite direction to the general flow of wind, but we examined computer models of the winds over the period of the Gulf War and its quite clear that material",,IR
RTE3_dev.column_s1_296,"Mozambique 's Maria Mutola and Israel 's Alex Averbukh produced the best performances of the year , in the women 's 800 metres and men 's pole vault , at the Super Grand Prix in Madrid on Saturday .",Maria Mutola of Mozambique and Alex Averbukh of Israel in the 800 meters and men's pole vault produced the best performances of the year in Saturday's Super Grand Prix in Madrid.,"In the women's 800 metre and men's pole vault on Saturday, Mozambique's Maria Mutola and Israel's Alex Averbukh produced the best performances of the year at the Super Grand Prix in Madrid.",,IR
RTE1_dev.column_s1_572,Camacho is a Mexican version of Japan 's Morihiro Hosokawa - a pragmatic tactician using a crisis and the attendant outcry for reform to further his political standing .,"Camacho is a Mexican version of Japan's Morihiro Hosokawa, a pragmatic tactician who uses crisis and the attendant wailing for reform to further his political standing.","Camacho is a Mexican version of Japan's Morihiro Hosokawa - a pragmatic tactician who, using a crisis and the consequent outcry for reform, uses its political standing to advance.",,QA
RTE1_dev.column_s1_46,The Yankees split Hollywood with something to feel OK about after last night 's 5-4 loss to the Dodgers .,The Yankees split Hollywood with something to worry about after last night's 5-4 loss to the Dodgers.,The Yankees split Hollywood with something to feel good about after last night's 5-4 loss to the Dodgers.,,IR
RTE3_dev.column_s1_216,Anti-nuclear protesters on Wednesday delayed the progress of a shipment of radioactive waste toward a dump in northern Germany . The train stopped for the fourth time since crossing into Germany as it neared the northern town of Lueneburg .,The radioactive waste transporters delayed the progress of a shipment of radioactive waste on Wednesday to a dump in northern Germany The train stopped for the fourth time since crossing into Germany as it approached the northern city of Lueneburg.,"Anti-nuclear protesters delayed progress of a shipment of radioactive waste on Wednesday, halting the train for the fourth time since crossing into Germany when it approached the northern town of Lueneburg.",,IR
RTE3_dev.column_s1_93,UN Secretary General Kofi Annan has noted that the Iraqi people turned out in large numbers to vote in the January 30 ballot .,UN Secretary General Kofi Annan noted that the Iraqi people turned out in large numbers for the voting on 30 January.,UN Secretary General Kofi Annan noted that Iraqi people in large numbers turned out in the ballot for the election of January 30.,,IE
RTE3_dev.column_s1_445,"Aides to British Prime Minister Tony Blair , whose Labor Party won power 13 months ago and who is the current EU president , said the leaders acknowledged jointly - and without trying to blame each other - that the EU 's Belgian-based bureaucracy is regarded as both remote and overbearing .","The backers of British Prime Minister Tony Blair, whose Labor Party won power 13 months ago, and who is the current EU president, said the leaders acknowledged that the EU's Belgian bureaucracy is both viewed as remote and overbearing.","Leading British Prime Minister Tony Blair, whose Labour Party won power 13 months ago and is the current EU President, said the leaders acknowledged together - and without trying to blame each other - that the EU's Belgian-based bureaucracy is considered both remote and overbearing.",,QA
RTE1_dev.column_s1_684,"On Feb. 1 , 1945 , the Polish government made Warsaw its capital , and an office for urban reconstruction was set up .","On 1 February 1945, the Polish government made Warsaw the capital, and an office for urban reconstruction was established.","On 1 February 1945, the Polish government created Warsaw as its capital, and a new office for urban reconstruction was established.",,CD
RTE1_dev.column_s1_603,"Germans vote for a party , rather than a person , and the left-of-center Social Democrats do not score as well in polls as Scharping himself .",The right-of-center Social Democrats do not score in polls as well as Scharping himself.,"Rather than voting for one party, the left-of-center Social Democrats don't score in polls as well as Scharping himself.",,QA
RTE3_dev.column_s1_48,"She has become world renowned for her patented invention of spray on skin for burns victims , a treatment which is continually developing . Via her research , Fiona found that scarring is greatly reduced if replacement skin could be provided within 10 days . As a burns specialist the holy grail for Dr Fiona Wood is ' scarless , woundless healing ' .","As a burns specialist, the holy grail for Dr Fiona Wood is'scarless, woundless healing '.","Fiona became world renowned for her patented invention of the spray on the skin for burn victims, a treatment that is constantly developing. Via her research, Fiona found that scarring would greatly reduce if replacement skin could be provided within 10 days. The holy grail of Dr Fiona Wood is'scarless, woundless healing '.",,IE
RTE1_dev.column_s1_80,"The Federal Aviation Administration 's Associate Administrator for Commercial Space Transportation ( FAA / AST ) has given license approval to Scaled Composites of Mojave , California , permitting the firm to expand flight testing of SpaceShipOne - a privately-financed rocket plane to carry passengers to suborbital altitude .","The Associated Administrator for Commercial Space Transportation ( FAA / AST ) of the Federal Aviation Administration granted license approval to Scaled Composites of Mojave, California, which will enable the firm to expand flight tests of SpaceShipOne - a privately-financed rocket plane to carry passengers to suborbital altitude.","The FAA's Associate Administrator for Commercial Space Transportation ( FAA / AST ) has given licensing approval to Scaled Composites of Mojave, California, allowing the firm to expand flight tests of SpaceShipOne - a privately financed rocket plane to transport passengers to suborbital altitude.",,IR
RTE3_dev.column_s1_8,"Mrs. Bush 's approval ratings have remained very high , above 80 % , even as her husband 's have recently dropped below 50 % .","Mrs. Bush's approval ratings remained very high, above 80 %, even as her husband's approval ratings have recently fallen below 50 %.","Mrs. Bush's approval ratings have remained very high, well above 80 %, even as her husband's ratings have recently sunk below 50 %.",,IE
RTE3_dev.column_s1_152,"Prior to that , Andy Sipowicz began to date Assistant District Attorney Sylvia Costas . They got married in 1995 and had a son Theo in 1996 .","Andy Sipowicz began dating Assistant District Attorney Sylvia Costas before that, married in 1995 and had a son Theo in 1996.","Andy Sipowicz began dated Assistant District Attorney Sylvia Costas, married in 1995 and had a son Theo in 1996.",,IE
RTE3_dev.column_s1_195,"Zapatero visited the following cities in four days : Brasilia , So Paulo , Buenos Aires and Santiago de Chile . According to official sources these visits are the last part of the project he began at the EU-Latin American Summit in Guadalajara , Mexico and pursued in the Ibero-American meeting in Costa Rica in November .","According to official sources these visits are the last part of the project he started in November at the EU - Latin American Summit in Guadalajara, Mexico and conducted at the Ibero-American Conference in Costa Rica.","These visits are the last part of the project he started at the EU-Latin American Summit in Guadalajara, Mexico and pursued in November in the Ibero-American Conference in Costa Rica, according to official sources.",,IE
RTE2_dev.column_s1_738,"That request is at odds with the law signed early yesterday , by Bush , directing the federal courts to consider the case de novo without taking into account the state court 's findings .","That request is in conflict with the law signed early yesterday by Bush, which directed federal courts to consider the case de novo without taking into account the state's conclusions.","This request is in conflict with the law signed early yesterday by President Bush, which directed the Federal courts to consider the case de novo without taking into account the State Court's findings.",,SUM
RTE3_dev.column_s1_702,Two British destroyers struck Albanian-laid mines while exercising their rights passing through the Corfu Channel .,Two British destroyers struck Albanian mines when they were exercising their rights that passed through the Corfu Channel.,Two British destroyers struck Albanian-clad mines while using their rights passed through the Corfu Channel.,,SUM
RTE3_dev.column_s1_134,"Five years later , Rennyo returned to the Kyoto area , establishing new Honganji branch temples . During this time , he established a new form of liturgy ( gongyo ) , incorporating elements that would eventually become the core of Honganji Shinshu Buddhism .","Five years later, Rennyo returned to the Kyoto area, establishing new Honganji branches temples, introducing a new form of liturgy ( gongyo ), which would eventually be the core of Honganji Shinshu Buddhism.","Five years later, Rennyo returned to the Kyoto area, building new Honganji branch temples, and he established a new form of liturgy ( Gongyo ), which eventually became the core of Honganji Shinshu Buddhism.",,IE
RTE1_dev.column_s1_74,"South Korea 's deputy foreign minister says his country wo n't change its plan to send three-thousand soldiers to Iraq , despite the kidnapping of a South Korean man there .","South Korea's deputy foreign minister says his country won 't change its plan to send three thousand soldiers to Iraq, despite the kidnapping of a South Korean man there.","South Korea's deputy foreign minister says that his country has no plans to send three-thousand soldiers to Iraq, despite kidnapping of a South Korean man there.",,IR
RTE3_dev.column_s1_25,"Bountiful arrived after war 's end , sailing into San Francisco Bay 21 August 1945 . Bountiful was then assigned as hospital ship at Yokosuka , Japan , departing San Francisco 1 November 1945 .","Bountiful arrived after the end of the war, sailing into San Francisco Bay on August 21, 1945, Bountiful was then assigned to the hospital ship in Yokosuka, Japan, departing from San Francisco on November 1, 1945.","Bountiful arrived after the end of the war, sailing into San Francisco Bay 21 August 1945 and was then assigned as a hospital ship in Yokosuka, Japan, leaving San Francisco on 1 November 1945.",,IE
RTE2_dev.column_s1_531,"The focus on the engines and the fuel , stems from the pilot 's radio call , shortly before the crash .",The focus on the engines and fuel comes from the pilot's radio call shortly before the crash.,The focus on engines and fuel comes from the pilot's radio call shortly before the crash.,,SUM
RTE3_dev.column_s1_719,"Strong competition in industries such as shipping has resulted in waves of investment in labour saving technology such as steel and aluminium cutting tools , processing machine and welding robots .","Strong competition in industries such as shipping has resulted in waves of investment in labour saving technologies, such as welding tools, processing machines and welding robots.","Strong competition in industries such as shipping has resulted in a wave of investments in labour saving technology such as steel and aluminium cutting tools, processing machines and welding robots.",,SUM
RTE2_dev.column_s1_733,"Frye says , that he ( a homeopathy expert ) and Iris Bell recently studied homeopathic treatment of fibromyalgia . A new analysis - comparing published studies of homeopathic drugs to matched , randomly selected studies of medical drugs - suggests that these apparent homeopathic drug effects are merely placebo effects .","A new analysis comparing published studies of homeopathic drugs with matched, randomly selected studies of medical drugs suggests that these apparent homeopathic drug effects are merely placebo effects.","A new analysis comparing published studies of homeopathic drugs to matched, randomly selected studies of medical drugs suggests that these apparent homeopathic drug effects are merely placebo effects.",,SUM
RTE3_dev.column_s1_774,"In August , Gates ' foundation gave Yunus ' Grameen Foundation 1.5 million for a program to extend its microfinance programs to 5 million more of the world 's poorest families . Three years ago , tech entrepreneur Craig McCaw provided 2 million to start up the Grameen Technology Center , which is using microcredit to finance cheap mobile service for people in Uganda and Rwanda .","In August, Gates'foundation gave the Yunus'Grameen Foundation 1.5 million for a program to extend its microfinance programs to 5 million of the world's poorest families. Three years ago, tech entrepreneur Craig McCaw provided 2 million to start the Grameen Technology Center, which provides cheap mobile phones for people in Uganda and Rwanda.","In August, Gates'foundation gave 1.5 million to the Yunus'Grameen Foundation for a program to extend its microfinance programs to 5 million of the poorest families in the world. Three years ago, tech entrepreneur Craig McCaw donated 2 million to launch the Grameen Technology Center, which uses microcredit to finance cheap mobile service for people in Uganda and Rwanda.",,SUM
RTE3_dev.column_s1_3,"Loraine besides participating in Broadway 's Dreamgirls , also participated in the Off-Broadway production of `` Does A Tiger Have A Necktie '' . In 1999 , Loraine went to London , United Kingdom . There she participated in the production of `` RENT '' where she was cast as `` Mimi '' the understudy .","Loraine besides participating in Broadway's Dreamgirls also participated in the Off-Broadway production  Does A Tiger Have A Necktie '', where she participated in  RENT  in 1999 where she was cast as  Mimi '' the understudy.","In 1999, Loraine went to London, United Kingdom, to participate in the Broadway production of  Does A Tiger Have A Necktie '', where she played the understudy  Mimi ''.",,IE
RTE3_dev.column_s1_301,"New York boasts the largest number of billionaires , with 40 residing in the Big Apple . The world 's youngest billionaire is 22-year-old Hind Hariri , daughter of assassinated former Lebanese Prime Minister Rafik Hariri .","New York has the largest number of billionaires, with 40 in the Big Apple, with 22-year-old Hind Hariri, daughter of the assassinated former Lebanese Prime Minister Rafik Hariri.","The world's youngest billionaire is 22-year-old Hind Hariri, the daughter of the assassinated former Lebanese Prime Minister Rafik Hariri.",,IR
RTE2_dev.column_s1_610,"Despite CNOOC 's all-cash bid , Unocal said its recommendation to shareholders in favor of the $ 16.4 billion offer of cash and stock from Chevron remains in effect .","Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders remains in effect for the U.S.$ 16.4 billion cash and stock offer from Chevron.","Despite the CNOOC's cash offer, Unocal's recommendation to shareholders remains in effect in favor of the $ 16.4 billion cash and stock offer from Chevron.",,SUM
RTE1_dev.column_s1_60,"If a Mexican approaches the border , he 's assumed to be trying to illegally cross .","If a Mexican approaches the border, he's assumed to be trying to cross legally.","If a Mexican approaches the border, he is assumed to be attempting to cross illegally.",,IR
RTE3_dev.column_s1_639,Argentina remains one of 17 countries still banning British cattle for breeding because of the outbreak of mad cow disease in 1980 s .,Argentina remains one of 17 countries still allowing British cattle to breed because of the outbreak of the mad cow disease in 1980.,"Argentina remains one of 17 countries still banning British cattle for breeding, owing to the outbreak of mad cow disease in 1980s.",,SUM
RTE2_dev.column_s1_474,"The White House pressure , reported by Iraqi officials in Baghdad and an American official in Washington , on Sunday , was a change in the administration 's hands-off approach to Iraqi politics .",The White House pressure report from Iraqi officials in Baghdad and a US official in Washington on Sunday was a change in the administration's hands-off approach to Iraqi politics.,"The White House's pressure, reported Sunday by Iraqi officials in Baghdad and an American official in Washington, was a change in the administration's hands off approach to Iraqi politics.",,SUM
RTE2_dev.column_s1_634,"McDonald 's said overall global sales at its restaurants climbed 6.2 % in June , 6.3 % in the second quarter and 7.1 % for the year to date .","McDonald's said the global sales of its restaurants have increased 6.2 % in June, 6.3 % in the second quarter and 7.1 % in the year to date.","McDonald's said total global sales at its restaurants rose 6.2 % in June, 6.3 % in the second quarter and 7.1 % in the year to date.",,SUM
RTE2_dev.column_s1_519,"Miller , the Pulitzer Prize-winning playwright whose most famous fictional creation , Loman in ' Death of a Salesman ' came to symbolize the American Dream gone awry , has died .","Miller, the Pulitzer Prize-winning playwright whose most famous fictional creation, Loman, came in the'Death of a Salesman'to symbolize America's dream gone awry, has died.","The Pulitzer Prize-winning playwright, whose most famous fictional creation, Loman, came in'Death of a Salesman'to symbolize the American dream gone awry, has died.",,SUM
RTE3_dev.column_s1_600,"Sotheby 's and Christie 's , the world 's two most powerful auction houses , swapped confidential lists of super-rich clients who were spared from paying fees charged to other sellers , people close to the companies and to a federal antitrust investigation of them said .","Sotheby's and Christie's, the world's two most powerful auction houses, swapped confidential lists of super-rich clients spared the fees charged to other sellers, people close to the companies and to a federal antitrust investigation of them.","Sotheby's and Christie's, the world's two most powerful auction houses swapped confidential lists of super-rich clients who were spared from paying fees to other sellers, a person close to the companies and to a federal antitrust investigation of them.",,QA
RTE3_dev.column_s1_731,"Mr Lopez Obrador has alleged electoral fraud cost him the presidency , despite a recount confirming Felipe Calderon as Mexico 's president-elect .","Lopez Obrador has alleged that electoral fraud cost him the presidency, despite a recount confirmed Felipe Calderon as Mexico's president-elect.","Lopez Obrador accused electoral fraud to cost him presidency, despite a recount that confirmed Felipe Calderon as President-elect of Mexico.",,SUM
RTE3_dev.column_s1_568,"Moreau , 72 , received a Golden Bear award for lifetime achievement at the Berlin Film Festival Friday .","Moreau, 72, was awarded a Golden Bear Award for life at the Berlin Film Festival on Friday.","Moreau, 72, received a Golden Bear award for lifelong achievement in Berlin on Friday.",,QA
RTE2_dev.column_s1_387,"About two weeks before the trial started , I was in Shapiro 's office in Century City .","About two weeks before the trial began, I was in Shapiro's office in Century City.","About two weeks before the trial began, I was in Shapiro's office in Century City.",,QA
RTE2_dev.column_s1_775,"The scandal is one of several threatening to undermine President Cardoso 's four-party government alliance , and could force out one of Brazil 's top politicians - the newly appointed President of the Senate , Jader Barbalho .","The scandal is one of several threats to undermine President Cardoso's Four-Party Government Alliance and could force one of Brazil's top politicians - newly appointed president of the Senate, Jader Barbalho.","The scandal is one of several that threatens to undermine President Cardoso's four-party government alliance and could force out one of Brazil's top politicians - the newly appointed President of the Senate, Jader Barbalho.",,QA
RTE2_dev.column_s1_278,World leaders expressed concern on Thursday that North Korea will quit six-party nuclear disarmament talks and will bolster its nuclear weapons arsenal .,"On Thursday, world leaders expressed concern that North Korea will quit the nuclear disarmament talks of six sides and will further increase its nuclear arsenal.","On Thursday, the leaders of the world expressed concern that North Korea will end the nuclear disarmament talks of the six parties and will bolster its nuclear arsenal.",,SUM
RTE2_dev.column_s1_366,"About 30,000 Rolling Stones fans poured into Fenway Park this evening , fortunate to have scored tickets to the kickoff of the band 's latest world tour .","About 30,000 Rolling Stones fans poured into Fenway Park this evening fortunate to have ticketed the band's latest world tour.","About 30,000 Rolling Stones fans came into Fenway Park this evening, fortunate to have secured tickets to kickoff the band's latest world tour.",,SUM
RTE3_dev.column_s1_229,"Carelessness by contractors is a common cause of fire , including many fires that result in serious financial loss . It has been estimated that perhaps 20-25 % of all non-domestic fires result from ' on-going work ' , such as refurbishment , repair and construction .","It has been estimated that 20-25 % of all non-domestic fires due to'on-going work ', such as refinishing, repair and construction are from carelessness by contractors.","Carelessness of contractors is a common cause of fire, including many fires that result in significant financial loss. It has been estimated that maybe 20-25 % of all non-domestic fires result from'on-going work'such as refurbishment, repair and construction.",,IR
